customer_id,owner,action_taken,intervention_status
1,Retention Team A,Discount,Churned
2,Retention Team A,Discount,Pending
3,Retention Team B,Discount,Churned
4,Retention Team A,Discount,Churned
5,Retention Team B,Call,Contacted
6,Retention Team B,Call,Contacted
7,Retention Team A,Email,Pending
8,Retention Team B,Discount,Churned
9,Retention Team A,Call,Retained
10,Retention Team A,Call,Contacted
11,Retention Team A,Email,Retained
12,Retention Team A,Email,Pending
13,Retention Team A,Email,Contacted
14,Retention Team A,Call,Contacted
15,Retention Team B,Call,Churned
16,Retention Team B,Email,Pending
17,Retention Team B,Discount,Churned
18,Retention Team B,Email,Contacted
19,Retention Team A,Email,Pending
20,Retention Team B,Email,Contacted
21,Retention Team B,Email,Pending
22,Retention Team B,Call,Contacted
23,Retention Team A,Discount,Retained
24,Retention Team B,Email,Retained
25,Retention Team A,Discount,Churned
26,Retention Team B,Discount,Retained
27,Retention Team A,Discount,Contacted
28,Retention Team A,Email,Contacted
29,Retention Team B,Call,Retained
30,Retention Team A,Email,Churned
31,Retention Team A,Discount,Retained
32,Retention Team B,Discount,Pending
33,Retention Team B,Call,Pending
34,Retention Team B,Email,Pending
35,Retention Team A,Discount,Retained
36,Retention Team A,Call,Retained
37,Retention Team A,Discount,Retained
38,Retention Team B,Call,Pending
39,Retention Team A,Call,Churned
40,Retention Team A,Email,Contacted
41,Retention Team A,Discount,Retained
42,Retention Team A,Email,Churned
43,Retention Team A,Discount,Contacted
44,Retention Team A,Email,Contacted
45,Retention Team A,Discount,Contacted
46,Retention Team B,Email,Churned
47,Retention Team B,Call,Churned
48,Retention Team B,Discount,Pending
49,Retention Team A,Discount,Churned
50,Retention Team A,Call,Churned
51,Retention Team B,Email,Churned
52,Retention Team A,Discount,Contacted
53,Retention Team B,Discount,Retained
54,Retention Team A,Email,Pending
55,Retention Team A,Call,Retained
56,Retention Team B,Email,Retained
57,Retention Team B,Email,Churned
58,Retention Team B,Email,Pending
59,Retention Team B,Discount,Retained
60,Retention Team B,Call,Retained
61,Retention Team A,Call,Pending
62,Retention Team A,Email,Churned
63,Retention Team A,Discount,Retained
64,Retention Team B,Email,Contacted
65,Retention Team B,Discount,Retained
66,Retention Team B,Discount,Contacted
67,Retention Team B,Discount,Churned
68,Retention Team B,Discount,Retained
69,Retention Team B,Call,Pending
70,Retention Team A,Discount,Pending
71,Retention Team A,Discount,Retained
72,Retention Team A,Email,Churned
73,Retention Team A,Email,Churned
74,Retention Team A,Call,Pending
75,Retention Team B,Email,Retained
76,Retention Team B,Discount,Churned
77,Retention Team B,Email,Pending
78,Retention Team B,Call,Contacted
79,Retention Team B,Email,Retained
80,Retention Team B,Email,Contacted
81,Retention Team A,Call,Contacted
82,Retention Team B,Call,Churned
83,Retention Team B,Discount,Churned
84,Retention Team B,Email,Churned
85,Retention Team B,Discount,Retained
86,Retention Team A,Email,Contacted
87,Retention Team A,Email,Retained
88,Retention Team B,Discount,Churned
89,Retention Team A,Email,Contacted
90,Retention Team A,Email,Retained
91,Retention Team B,Email,Retained
92,Retention Team B,Call,Pending
93,Retention Team B,Discount,Retained
94,Retention Team B,Call,Churned
95,Retention Team B,Discount,Retained
96,Retention Team A,Discount,Contacted
97,Retention Team B,Email,Retained
98,Retention Team B,Discount,Pending
99,Retention Team B,Call,Contacted
100,Retention Team A,Call,Contacted
101,Retention Team B,Call,Pending
102,Retention Team B,Discount,Churned
103,Retention Team B,Call,Contacted
104,Retention Team A,Discount,Churned
105,Retention Team B,Call,Contacted
106,Retention Team B,Call,Contacted
107,Retention Team B,Discount,Churned
108,Retention Team A,Call,Contacted
109,Retention Team B,Email,Churned
110,Retention Team B,Discount,Pending
111,Retention Team B,Discount,Churned
112,Retention Team A,Discount,Pending
113,Retention Team B,Email,Contacted
114,Retention Team B,Discount,Churned
115,Retention Team B,Call,Contacted
116,Retention Team A,Call,Churned
117,Retention Team A,Call,Pending
118,Retention Team B,Discount,Pending
119,Retention Team A,Call,Churned
120,Retention Team A,Discount,Pending
121,Retention Team A,Call,Contacted
122,Retention Team B,Email,Contacted
123,Retention Team B,Email,Retained
124,Retention Team A,Email,Pending
125,Retention Team A,Email,Contacted
126,Retention Team A,Discount,Churned
127,Retention Team B,Call,Pending
128,Retention Team B,Email,Contacted
129,Retention Team A,Discount,Pending
130,Retention Team A,Email,Churned
131,Retention Team A,Email,Contacted
132,Retention Team A,Discount,Retained
133,Retention Team B,Discount,Retained
134,Retention Team A,Call,Pending
135,Retention Team B,Call,Churned
136,Retention Team A,Email,Contacted
137,Retention Team A,Email,Churned
138,Retention Team A,Call,Contacted
139,Retention Team A,Call,Pending
140,Retention Team A,Discount,Contacted
141,Retention Team B,Call,Churned
142,Retention Team A,Call,Churned
143,Retention Team A,Email,Pending
144,Retention Team A,Call,Churned
145,Retention Team B,Email,Contacted
146,Retention Team B,Call,Pending
147,Retention Team B,Discount,Contacted
148,Retention Team B,Call,Churned
149,Retention Team A,Call,Pending
150,Retention Team A,Call,Contacted
151,Retention Team A,Email,Churned
152,Retention Team B,Discount,Churned
153,Retention Team A,Call,Retained
154,Retention Team A,Email,Churned
155,Retention Team B,Discount,Contacted
156,Retention Team B,Email,Pending
157,Retention Team B,Email,Retained
158,Retention Team A,Discount,Churned
159,Retention Team A,Call,Churned
160,Retention Team B,Email,Churned
161,Retention Team A,Email,Contacted
162,Retention Team B,Call,Retained
163,Retention Team B,Call,Contacted
164,Retention Team A,Discount,Retained
165,Retention Team B,Discount,Pending
166,Retention Team B,Discount,Contacted
167,Retention Team B,Call,Contacted
168,Retention Team A,Email,Pending
169,Retention Team B,Email,Retained
170,Retention Team B,Discount,Churned
171,Retention Team B,Call,Pending
172,Retention Team B,Email,Churned
173,Retention Team B,Discount,Churned
174,Retention Team B,Email,Pending
175,Retention Team B,Email,Retained
176,Retention Team A,Call,Churned
177,Retention Team A,Call,Pending
178,Retention Team B,Email,Contacted
179,Retention Team A,Discount,Contacted
180,Retention Team A,Call,Contacted
181,Retention Team B,Email,Pending
182,Retention Team A,Call,Contacted
183,Retention Team B,Call,Churned
184,Retention Team B,Call,Contacted
185,Retention Team B,Email,Contacted
186,Retention Team B,Discount,Churned
187,Retention Team B,Discount,Contacted
188,Retention Team A,Discount,Churned
189,Retention Team B,Call,Contacted
190,Retention Team A,Email,Churned
191,Retention Team B,Call,Contacted
192,Retention Team B,Discount,Churned
193,Retention Team B,Discount,Pending
194,Retention Team A,Email,Churned
195,Retention Team B,Call,Contacted
196,Retention Team B,Discount,Contacted
197,Retention Team B,Email,Retained
198,Retention Team B,Call,Churned
199,Retention Team A,Call,Pending
200,Retention Team B,Discount,Churned
201,Retention Team A,Discount,Churned
202,Retention Team B,Call,Pending
203,Retention Team A,Call,Churned
204,Retention Team A,Discount,Pending
205,Retention Team B,Call,Pending
206,Retention Team B,Discount,Churned
207,Retention Team A,Call,Churned
208,Retention Team B,Discount,Contacted
209,Retention Team B,Email,Contacted
210,Retention Team B,Discount,Retained
211,Retention Team A,Discount,Retained
212,Retention Team B,Email,Churned
213,Retention Team B,Call,Pending
214,Retention Team B,Email,Retained
215,Retention Team A,Discount,Churned
216,Retention Team B,Call,Retained
217,Retention Team A,Email,Pending
218,Retention Team B,Call,Churned
219,Retention Team A,Call,Pending
220,Retention Team B,Email,Churned
221,Retention Team B,Call,Retained
222,Retention Team A,Email,Contacted
223,Retention Team A,Discount,Retained
224,Retention Team A,Call,Retained
225,Retention Team B,Discount,Contacted
226,Retention Team B,Discount,Contacted
227,Retention Team B,Call,Churned
228,Retention Team B,Email,Churned
229,Retention Team A,Call,Pending
230,Retention Team B,Discount,Pending
231,Retention Team B,Discount,Retained
232,Retention Team B,Email,Contacted
233,Retention Team B,Call,Pending
234,Retention Team B,Discount,Retained
235,Retention Team B,Discount,Contacted
236,Retention Team B,Discount,Churned
237,Retention Team A,Email,Retained
238,Retention Team B,Discount,Churned
239,Retention Team B,Discount,Pending
240,Retention Team B,Call,Pending
241,Retention Team B,Call,Contacted
242,Retention Team A,Discount,Retained
243,Retention Team A,Discount,Churned
244,Retention Team A,Call,Contacted
245,Retention Team A,Email,Pending
246,Retention Team A,Email,Pending
247,Retention Team A,Email,Retained
248,Retention Team B,Email,Churned
249,Retention Team A,Email,Retained
250,Retention Team A,Email,Churned
251,Retention Team B,Email,Churned
252,Retention Team A,Email,Retained
253,Retention Team B,Call,Contacted
254,Retention Team B,Email,Retained
255,Retention Team A,Email,Retained
256,Retention Team B,Email,Pending
257,Retention Team A,Discount,Pending
258,Retention Team A,Call,Retained
259,Retention Team B,Call,Retained
260,Retention Team B,Call,Pending
261,Retention Team A,Email,Churned
262,Retention Team B,Email,Retained
263,Retention Team B,Discount,Contacted
264,Retention Team A,Call,Contacted
265,Retention Team A,Email,Contacted
266,Retention Team B,Call,Retained
267,Retention Team A,Discount,Churned
268,Retention Team A,Discount,Churned
269,Retention Team A,Discount,Pending
270,Retention Team A,Call,Retained
271,Retention Team A,Email,Churned
272,Retention Team A,Email,Retained
273,Retention Team A,Discount,Pending
274,Retention Team B,Email,Pending
275,Retention Team A,Discount,Pending
276,Retention Team B,Call,Contacted
277,Retention Team B,Discount,Retained
278,Retention Team B,Call,Pending
279,Retention Team A,Discount,Retained
280,Retention Team A,Email,Contacted
281,Retention Team B,Email,Contacted
282,Retention Team A,Discount,Pending
283,Retention Team B,Email,Pending
284,Retention Team A,Email,Churned
285,Retention Team A,Email,Retained
286,Retention Team B,Call,Pending
287,Retention Team B,Email,Churned
288,Retention Team B,Call,Retained
289,Retention Team A,Discount,Pending
290,Retention Team B,Email,Churned
291,Retention Team A,Email,Churned
292,Retention Team A,Email,Retained
293,Retention Team A,Discount,Churned
294,Retention Team B,Call,Retained
295,Retention Team B,Call,Retained
296,Retention Team B,Email,Retained
297,Retention Team A,Discount,Contacted
298,Retention Team A,Discount,Churned
299,Retention Team B,Discount,Retained
300,Retention Team A,Discount,Pending
301,Retention Team A,Discount,Contacted
302,Retention Team B,Call,Contacted
303,Retention Team B,Call,Churned
304,Retention Team B,Call,Retained
305,Retention Team A,Email,Churned
306,Retention Team A,Discount,Contacted
307,Retention Team A,Email,Retained
308,Retention Team A,Discount,Pending
309,Retention Team A,Call,Retained
310,Retention Team B,Email,Contacted
311,Retention Team A,Call,Pending
312,Retention Team A,Discount,Retained
313,Retention Team A,Discount,Pending
314,Retention Team B,Discount,Pending
315,Retention Team B,Call,Contacted
316,Retention Team B,Discount,Pending
317,Retention Team A,Call,Churned
318,Retention Team B,Email,Contacted
319,Retention Team B,Discount,Churned
320,Retention Team B,Discount,Pending
321,Retention Team A,Discount,Churned
322,Retention Team B,Email,Retained
323,Retention Team A,Discount,Pending
324,Retention Team A,Call,Retained
325,Retention Team B,Call,Churned
326,Retention Team A,Discount,Retained
327,Retention Team B,Discount,Pending
328,Retention Team A,Email,Retained
329,Retention Team B,Email,Churned
330,Retention Team B,Email,Churned
331,Retention Team B,Discount,Churned
332,Retention Team A,Email,Pending
333,Retention Team B,Email,Churned
334,Retention Team A,Call,Pending
335,Retention Team B,Email,Retained
336,Retention Team A,Call,Churned
337,Retention Team A,Call,Retained
338,Retention Team B,Email,Contacted
339,Retention Team B,Call,Retained
340,Retention Team B,Discount,Contacted
341,Retention Team B,Discount,Retained
342,Retention Team B,Email,Pending
343,Retention Team A,Discount,Retained
344,Retention Team B,Call,Pending
345,Retention Team B,Discount,Pending
346,Retention Team A,Email,Churned
347,Retention Team B,Email,Pending
348,Retention Team B,Call,Contacted
349,Retention Team A,Email,Churned
350,Retention Team B,Discount,Churned
351,Retention Team B,Email,Retained
352,Retention Team B,Call,Pending
353,Retention Team A,Email,Pending
354,Retention Team B,Discount,Contacted
355,Retention Team A,Call,Retained
356,Retention Team B,Discount,Retained
357,Retention Team A,Call,Churned
358,Retention Team B,Email,Churned
359,Retention Team A,Call,Churned
360,Retention Team A,Call,Contacted
361,Retention Team A,Email,Contacted
362,Retention Team A,Discount,Churned
363,Retention Team A,Email,Retained
364,Retention Team A,Call,Contacted
365,Retention Team B,Email,Retained
366,Retention Team B,Call,Retained
367,Retention Team A,Email,Pending
368,Retention Team A,Email,Churned
369,Retention Team A,Discount,Pending
370,Retention Team A,Call,Churned
371,Retention Team B,Discount,Churned
372,Retention Team A,Call,Retained
373,Retention Team B,Email,Churned
374,Retention Team B,Call,Retained
375,Retention Team A,Discount,Retained
376,Retention Team A,Discount,Churned
377,Retention Team B,Discount,Retained
378,Retention Team B,Call,Retained
379,Retention Team A,Discount,Retained
380,Retention Team A,Discount,Contacted
381,Retention Team A,Discount,Retained
382,Retention Team B,Email,Contacted
383,Retention Team B,Email,Contacted
384,Retention Team A,Call,Retained
385,Retention Team B,Call,Retained
386,Retention Team B,Discount,Contacted
387,Retention Team A,Email,Contacted
388,Retention Team A,Discount,Retained
389,Retention Team B,Discount,Retained
390,Retention Team B,Email,Churned
391,Retention Team A,Email,Contacted
392,Retention Team A,Email,Contacted
393,Retention Team A,Call,Churned
394,Retention Team A,Call,Contacted
395,Retention Team A,Discount,Pending
396,Retention Team B,Call,Contacted
397,Retention Team B,Email,Churned
398,Retention Team B,Email,Pending
399,Retention Team B,Call,Retained
400,Retention Team A,Discount,Churned
401,Retention Team A,Discount,Churned
402,Retention Team A,Call,Retained
403,Retention Team B,Discount,Churned
404,Retention Team B,Discount,Contacted
405,Retention Team B,Discount,Retained
406,Retention Team A,Email,Churned
407,Retention Team B,Email,Retained
408,Retention Team A,Call,Retained
409,Retention Team A,Email,Retained
410,Retention Team A,Discount,Pending
411,Retention Team A,Email,Churned
412,Retention Team A,Call,Pending
413,Retention Team A,Email,Churned
414,Retention Team B,Discount,Contacted
415,Retention Team A,Discount,Contacted
416,Retention Team A,Call,Contacted
417,Retention Team B,Email,Churned
418,Retention Team A,Email,Retained
419,Retention Team B,Email,Retained
420,Retention Team B,Discount,Pending
421,Retention Team B,Call,Pending
422,Retention Team A,Email,Contacted
423,Retention Team A,Discount,Pending
424,Retention Team B,Discount,Churned
425,Retention Team A,Discount,Churned
426,Retention Team A,Email,Pending
427,Retention Team B,Email,Pending
428,Retention Team B,Email,Pending
429,Retention Team A,Email,Pending
430,Retention Team B,Email,Contacted
431,Retention Team B,Email,Contacted
432,Retention Team B,Email,Pending
433,Retention Team A,Email,Churned
434,Retention Team A,Email,Contacted
435,Retention Team A,Discount,Churned
436,Retention Team B,Email,Retained
437,Retention Team A,Call,Churned
438,Retention Team B,Discount,Pending
439,Retention Team A,Email,Retained
440,Retention Team A,Call,Contacted
441,Retention Team B,Email,Contacted
442,Retention Team A,Call,Retained
443,Retention Team B,Call,Churned
444,Retention Team A,Call,Contacted
445,Retention Team A,Call,Pending
446,Retention Team B,Discount,Retained
447,Retention Team B,Discount,Pending
448,Retention Team B,Call,Retained
449,Retention Team A,Email,Contacted
450,Retention Team A,Call,Churned
451,Retention Team A,Discount,Retained
452,Retention Team B,Email,Retained
453,Retention Team B,Discount,Pending
454,Retention Team B,Discount,Contacted
455,Retention Team A,Email,Pending
456,Retention Team A,Call,Contacted
457,Retention Team B,Call,Pending
458,Retention Team A,Call,Retained
459,Retention Team B,Call,Pending
460,Retention Team A,Email,Churned
461,Retention Team A,Email,Contacted
462,Retention Team B,Email,Contacted
463,Retention Team A,Discount,Retained
464,Retention Team A,Email,Contacted
465,Retention Team B,Call,Churned
466,Retention Team B,Discount,Pending
467,Retention Team A,Call,Retained
468,Retention Team B,Call,Churned
469,Retention Team A,Email,Contacted
470,Retention Team B,Email,Contacted
471,Retention Team A,Call,Churned
472,Retention Team A,Call,Pending
473,Retention Team B,Discount,Pending
474,Retention Team A,Email,Retained
475,Retention Team A,Discount,Contacted
476,Retention Team B,Discount,Churned
477,Retention Team B,Discount,Pending
478,Retention Team A,Call,Retained
479,Retention Team B,Discount,Contacted
480,Retention Team B,Discount,Contacted
481,Retention Team A,Call,Retained
482,Retention Team A,Email,Retained
483,Retention Team B,Email,Pending
484,Retention Team B,Discount,Churned
485,Retention Team B,Call,Contacted
486,Retention Team A,Email,Churned
487,Retention Team A,Discount,Contacted
488,Retention Team A,Discount,Contacted
489,Retention Team A,Call,Churned
490,Retention Team A,Discount,Retained
491,Retention Team A,Email,Pending
492,Retention Team A,Call,Contacted
493,Retention Team B,Email,Retained
494,Retention Team B,Email,Contacted
495,Retention Team A,Email,Pending
496,Retention Team A,Discount,Contacted
497,Retention Team A,Discount,Pending
498,Retention Team B,Email,Pending
499,Retention Team A,Email,Contacted
500,Retention Team B,Call,Contacted
